 , , , , , , , , , , , , , ,#, 
 , , , , , , , , , , , , ,#, ,#, 
 , , , , , , , , , , , ,#, ,#, ,#, 
 , , , , , , , , , , ,#, ,#, ,#, ,#, 
 , , , , , , , , , ,#, ,#, ,#, ,#, ,#, 
 , , , , , , , , ,#, ,#, ,#, ,#, ,#, ,#, 
 , , , , , , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, 
 , , , , , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, 
 , , , , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, 
 , , , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, 
 , , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, 
 , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, 
 , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, 
 ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, 
#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, 
 , , , , , , , , , , , ,#, ,#, ,#
 , , , , , , , , , , , ,#, ,#, ,#
 , , , , , , , , , , , ,#, ,#, ,#
 , , , , , , , , , , , ,#, ,#, ,#
 , , , , , , , , , , , ,#, ,#, ,#
 , , , , , , , , , , , ,#, ,#, ,#
 , , , , , , , , , , , ,#, ,#, ,#
 , , , , , , , , , , , ,#, ,#, ,#
 , , , , , , , , , , , ,#, ,#, ,#
 , , , , , , , , , , , ,#, ,#, ,#
